ID,Nombre,NombreCompleto,Club,Liga,FechaNacimiento,AlturaCM,PesoKG,Nacionalidad,ValorEuropa,PiePreferido
20801,Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,Real Madrid CF,Spanish Primera División,1985-02-05,185,80,Portugal,95500000,Right
158023,L. Messi,Lionel Messi,FC Barcelona,Spanish Primera División,1987-06-24,170,72,Argentina,105000000,Left
190871,Neymar,Neymar da Silva Santos Jr.,Paris Saint-Germain,French Ligue 1,1992-02-05,175,68,Brazil,123000000,Right
176580,L. Suárez,Luis Suárez,FC Barcelona,Spanish Primera División,1987-01-24,182,86,Uruguay,97000000,Right
167495,M. Neuer,Manuel Neuer,FC Bayern Munich,German Bundesliga,1986-03-27,193,92,Germany,61000000,Right
188545,R. Lewandowski,Robert Lewandowski,FC Bayern Munich,German Bundesliga,1988-08-21,185,79,Poland,92000000,Right
193080,De Gea,David De Gea Quintana,Manchester United,English Premier League,1990-11-07,193,76,Spain,64500000,Right
183277,E. Hazard,Eden Hazard,Chelsea,English Premier League,1991-01-07,173,76,Belgium,90500000,Right
182521,T. Kroos,Toni Kroos,Real Madrid CF,Spanish Primera División,1990-01-04,182,78,Germany,79000000,Right
167664,G. Higuaín,Gonzalo Higuaín,Juventus,Italian Serie A,1987-12-10,184,87,Argentina,77000000,Right
155862,Sergio Ramos,Sergio Ramos García,Real Madrid CF,Spanish Primera División,1986-03-30,183,75,Spain,52000000,Right
192985,K. De Bruyne,Kevin De Bruyne,Manchester City,English Premier League,1991-06-28,181,68,Belgium,83000000,Right
192119,T. Courtois,Thibaut Courtois,Chelsea,English Premier League,1992-05-11,199,94,Belgium,59000000,Left
184941,A. Sánchez,Alexis Sánchez,Arsenal,English Premier League,1988-12-19,169,62,Chile,67500000,Right
177003,L. Modric,Luka Modric,Real Madrid CF,Spanish Primera División,1985-09-09,174,65,Croatia,57000000,Right
173731,G. Bale,Gareth Bale,Real Madrid CF,Spanish Primera División,1989-07-16,183,74,Wales,69500000,Left
153079,S. Agüero,Sergio Agüero,Manchester City,English Premier League,1988-06-02,173,70,Argentina,66500000,Right
138956,G. Chiellini,Giorgio Chiellini,Juventus,Italian Serie A,1984-08-14,187,85,Italy,38000000,Left
1179,G. Buffon,Gianluigi Buffon,Juventus,Italian Serie A,1978-01-28,191,94,Italy,4500000,Right
211110,P. Dybala,Paulo Dybala,Juventus,Italian Serie A,1993-11-15,177,73,Argentina,79000000,Left
200389,J. Oblak,Jan Oblak,Atlético Madrid,Spanish Primera División,1993-01-07,189,82,Slovenia,57000000,Right
194765,A. Griezmann,Antoine Griezmann,Atlético Madrid,Spanish Primera División,1991-03-21,174,72,France,75000000,Left
189509,Thiago,Thiago Alcântara,FC Bayern Munich,German Bundesliga,1991-04-11,174,70,Spain,70500000,Right
188567,P. Aubameyang,Pierre-Emerick Aubameyang,Borussia Dortmund,German Bundesliga,1989-06-18,187,80,Gabon,61000000,Right
184344,L. Bonucci,Leonardo Bonucci,Milan,Italian Serie A,1987-05-01,190,85,Italy,44000000,Right
183907,J. Boateng,Jérôme Boateng,FC Bayern Munich,German Bundesliga,1988-09-03,192,90,Germany,48000000,Right
182493,D. Godín,Diego Godín,Atlético Madrid,Spanish Primera División,1986-02-16,186,78,Uruguay,40000000,Right
178603,M. Hummels,Mats Hummels,FC Bayern Munich,German Bundesliga,1988-12-16,191,92,Germany,48000000,Right
176635,M. Özil,Mesut Özil,Arsenal,English Premier League,1988-10-15,180,76,Germany,60000000,Left
167948,H. Lloris,Hugo Lloris,Tottenham Hotspur,English Premier League,1986-12-26,188,82,France,38000000,Left
164240,Thiago Silva,Thiago Emiliano da Silva,Paris Saint-Germain,French Ligue 1,1984-09-22,183,79,Brazil,34000000,Right
41236,Z. Ibrahimovic,Zlatan Ibrahimovic,Manchester United,English Premier League,1981-10-03,195,95,Sweden,27000000,Right
9014,A. Robben,Arjen Robben,FC Bayern Munich,German Bundesliga,1984-01-23,180,80,Netherlands,36000000,Left
215914,N. Kanté,N'Golo Kanté,Chelsea,English Premier League,1991-03-29,168,68,France,52500000,Right
199556,M. Verratti,Marco Verratti,Paris Saint-Germain,French Ligue 1,1992-11-05,165,60,Italy,64500000,Right
195864,P. Pogba,Paul Pogba,Manchester United,English Premier League,1993-03-15,191,84,France,66500000,Right
190460,C. Eriksen,Christian Eriksen,Tottenham Hotspur,English Premier League,1992-02-14,182,76,Denmark,65000000,Right
181872,A. Vidal,Arturo Vidal,FC Bayern Munich,German Bundesliga,1987-05-22,180,75,Chile,37500000,Right
179813,E. Cavani,Edinson Cavani,Paris Saint-Germain,French Ligue 1,1987-02-14,184,71,Uruguay,48500000,Right
176676,Marcelo,Marcelo Vieira da Silva,Real Madrid CF,Spanish Primera División,1988-05-12,174,75,Brazil,38000000,Left
171877,M. Hamšík,Marek Hamšík,Napoli,Italian Serie A,1987-07-27,183,79,Slovakia,48500000,Right
168651,I. Rakitic,Ivan Rakitic,FC Barcelona,Spanish Primera División,1988-03-10,184,78,Croatia,48500000,Right
168542,David Silva,David Josué Jiménez Silva,Manchester City,English Premier League,1986-01-08,173,67,Spain,44000000,Left
